2019-08-20 15:19:45.229 febs [main] INFO  com.neefull.fsp.AdminApplication - Starting AdminApplication on pc-wangpei with PID 6124 (D:\workspace\workspace_open\fsp\admin-web\target\classes started by Thinkpad in D:\workspace\workspace_open\fsp)
2019-08-20 15:19:47.138 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [com.neefull.fsp.common.authentication.ShiroConfig$$EnhancerBySpringCGLIB$$68d63944] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:47.197 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatis-plus-com.baomidou.mybatisplus.autoconfigure.MybatisPlusProperties' of type [com.baomidou.mybatisplus.autoconfigure.MybatisPlusProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:47.205 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatisPlusConfigure' of type [com.neefull.fsp.common.configure.MybatisPlusConfigure$$EnhancerBySpringCGLIB$$210cbc48] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:47.211 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'paginationInterceptor' of type [com.baomidou.mybatisplus.extension.plugins.PaginationInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:47.218 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.baomidou.mybatisplus.autoconfigure.MybatisPlusAutoConfiguration' of type [com.baomidou.mybatisplus.autoconfigure.MybatisPlusAutoConfiguration$$EnhancerBySpringCGLIB$$20496a62] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:47.227 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dynamicDataSourceCreator' of type [com.baomidou.dynamic.datasource.DynamicDataSourceCreator] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:47.228 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dynamicDataSourceProvider' of type [com.baomidou.dynamic.datasource.provider.YmlDynamicDataSourceProvider] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:47.232 febs [main] INFO  c.b.d.d.DynamicRoutingDataSource - 动态数据源-检测到并开启了p6spy
2019-08-20 15:19:47.239 febs [main] INFO  com.zaxxer.hikari.HikariDataSource - base - Starting...
2019-08-20 15:19:47.379 febs [main] INFO  com.zaxxer.hikari.HikariDataSource - base - Start completed.
2019-08-20 15:19:47.379 febs [main] INFO  com.zaxxer.hikari.HikariDataSource - quartz - Starting...
2019-08-20 15:19:47.386 febs [main] INFO  com.zaxxer.hikari.HikariDataSource - quartz - Start completed.
2019-08-20 15:19:47.386 febs [main] INFO  c.b.d.d.DynamicRoutingDataSource - 初始共加载 2 个数据源
2019-08-20 15:19:47.387 febs [main] INFO  c.b.d.d.DynamicRoutingDataSource - 动态数据源-加载 quartz 成功
2019-08-20 15:19:47.387 febs [main] INFO  c.b.d.d.DynamicRoutingDataSource - 动态数据源-加载 base 成功
2019-08-20 15:19:47.387 febs [main] INFO  c.b.d.d.DynamicRoutingDataSource - 当前的默认数据源是单数据源，数据源名为 base
2019-08-20 15:19:47.387 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dataSource' of type [com.baomidou.dynamic.datasource.DynamicRoutingDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:47.398 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:47.406 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceInitializerInvoker' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceInitializerInvoker] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.000 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionFactory' of type [org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.010 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionTemplate' of type [org.mybatis.spring.SqlSessionTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.016 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.020 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userMapper' of type [com.sun.proxy.$Proxy109] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.058 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userRoleMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.059 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userRoleMapper' of type [com.sun.proxy.$Proxy111] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.061 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userRoleServiceImpl' of type [com.neefull.fsp.system.service.impl.UserRoleServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.117 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userServiceImpl' of type [com.neefull.fsp.system.service.impl.UserServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.159 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'roleMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.161 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'roleMapper' of type [com.sun.proxy.$Proxy114] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.172 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'roleMenuMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.174 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'roleMenuMapper' of type [com.sun.proxy.$Proxy115] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.176 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'roleMenuServiceImpl' of type [com.neefull.fsp.system.service.impl.RoleMenuServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.207 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'roleServiceImpl' of type [com.neefull.fsp.system.service.impl.RoleServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.235 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'menuMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.237 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'menuMapper' of type [com.sun.proxy.$Proxy118] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.241 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'menuServiceImpl' of type [com.neefull.fsp.system.service.impl.MenuServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.264 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroRealm' of type [com.neefull.fsp.common.authentication.ShiroRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.636 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisSessionDAO' of type [org.crazycake.shiro.RedisSessionDAO] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.640 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sessionManager' of type [org.apache.shiro.web.session.mgt.DefaultWebSessionManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.649 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.663 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-20 15:19:48.943 febs [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-08-20 15:19:48.956 febs [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2019-08-20 15:19:48.963 febs [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2019-08-20 15:19:48.964 febs [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.22]
2019-08-20 15:19:49.083 febs [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-08-20 15:19:49.083 febs [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3802 ms
2019-08-20 15:19:49.714 febs [main] INFO  com.neefull.fsp.common.xss.XssFilter - ------------ xss filter init ------------
2019-08-20 15:19:50.068 febs [main] INFO  org.quartz.impl.StdSchedulerFactory - Using default implementation for ThreadExecutor
2019-08-20 15:19:50.081 febs [main] INFO  o.quartz.core.SchedulerSignalerImpl - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2019-08-20 15:19:50.081 febs [main] INFO  org.quartz.core.QuartzScheduler - Quartz Scheduler v.2.3.1 created.
2019-08-20 15:19:50.089 febs [main] INFO  o.s.s.quartz.LocalDataSourceJobStore - Using db table-based data access locking (synchronization).
2019-08-20 15:19:50.090 febs [main] INFO  o.s.s.quartz.LocalDataSourceJobStore - JobStoreCMT initialized.
2019-08-20 15:19:50.091 febs [main] INFO  org.quartz.core.QuartzScheduler - Scheduler meta-data: Quartz Scheduler (v2.3.1) 'FEBS_Scheduler' with instanceId 'pc-wangpei1566285590070'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 20 threads.
  Using job-store 'org.springframework.scheduling.quartz.LocalDataSourceJobStore' - which supports persistence. and is clustered.

2019-08-20 15:19:50.091 febs [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler 'FEBS_Scheduler' initialized from an externally provided properties instance.
2019-08-20 15:19:50.091 febs [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler version: 2.3.1
2019-08-20 15:19:50.092 febs [main] INFO  org.quartz.core.QuartzScheduler - JobFactory set to: org.springframework.scheduling.quartz.AdaptableJobFactory@217b0952
2019-08-20 15:19:50.168 febs [main] INFO  p6spy - 2019-08-20 15:19:50 | 耗时 3 ms | SQL 语句：
SELECT job_id jobId, bean_name beanName, method_name methodName, params, cron_expression cronExpression, status, remark, create_time createTime FROM t_job ORDER BY job_id;
2019-08-20 15:19:50.592 febs [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService
2019-08-20 15:19:50.594 febs [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'febsAsyncThreadPool'
2019-08-20 15:19:50.963 febs [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
2019-08-20 15:19:51.916 febs [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2019-08-20 15:19:51.995 febs [main] INFO  o.s.s.quartz.SchedulerFactoryBean - Will start Quartz Scheduler [FEBS_Scheduler] in 1 seconds
2019-08-20 15:19:52.006 febs [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2019-08-20 15:19:52.030 febs [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2019-08-20 15:19:52.033 febs [main] INFO  com.neefull.fsp.AdminApplication - Started AdminApplication in 7.73 seconds (JVM running for 8.84)
2019-08-20 15:19:52.058 febs [main] INFO  c.n.f.c.runner.FebsStartedUpRunner -  __    ___   _      ___   _     ____ _____  ____ 
2019-08-20 15:19:52.059 febs [main] INFO  c.n.f.c.runner.FebsStartedUpRunner - / /`  / / \ | |\/| | |_) | |   | |_   | |  | |_  
2019-08-20 15:19:52.059 febs [main] INFO  c.n.f.c.runner.FebsStartedUpRunner - \_\_, \_\_/ |_|  | |_|   |_|__ |_|__  |_|  |_|__ 
2019-08-20 15:19:52.059 febs [main] INFO  c.n.f.c.runner.FebsStartedUpRunner -                                                       
2019-08-20 15:19:52.059 febs [main] INFO  c.n.f.c.runner.FebsStartedUpRunner - FLP系统启动完毕，地址：http://192.168.0.123:8080/login
2019-08-20 15:19:52.372 febs [RMI TCP Connection(1)-192.168.0.123] INFO  p6spy - 2019-08-20 15:19:52 | 耗时 0 ms | SQL 语句：
select 1;
2019-08-20 15:19:52.777 febs [RMI TCP Connection(3)-192.168.0.123] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-08-20 15:19:52.777 febs [RMI TCP Connection(3)-192.168.0.123] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-08-20 15:19:52.790 febs [RMI TCP Connection(3)-192.168.0.123] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 13 ms
2019-08-20 15:19:52.996 febs [Quartz Scheduler [FEBS_Scheduler]] INFO  o.s.s.quartz.SchedulerFactoryBean - Starting Quartz Scheduler now, after delay of 1 seconds
2019-08-20 15:19:53.011 febs [Quartz Scheduler [FEBS_Scheduler]] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2019-08-20 15:19:53.011 febs [Quartz Scheduler [FEBS_Scheduler]] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "pc-wangpei1565862114263"'s failed in-progress jobs.
2019-08-20 15:19:53.014 febs [Quartz Scheduler [FEBS_Scheduler]] INFO  p6spy - 
2019-08-20 15:19:53.015 febs [Quartz Scheduler [FEBS_Scheduler]] INFO  org.quartz.core.QuartzScheduler - Scheduler FEBS_Scheduler_$_pc-wangpei1566285590070 started.
2019-08-20 15:19:53.018 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_MisfireHandler] INFO  p6spy - 
2019-08-20 15:19:53.020 febs [FEBS_Scheduler_QuartzSchedulerThread] INFO  p6spy - 
2019-08-20 15:20:05.018 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_MisfireHandler] INFO  p6spy - 
2019-08-20 15:20:08.013 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_ClusterManager] INFO  p6spy - 
2019-08-20 15:20:08.019 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_ClusterManager] INFO  p6spy - 
2019-08-20 15:20:16.945 febs [FEBS_Scheduler_QuartzSchedulerThread] INFO  p6spy - 
2019-08-20 15:20:17.019 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_MisfireHandler] INFO  p6spy - 
2019-08-20 15:20:23.018 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_ClusterManager] INFO  p6spy - 
2019-08-20 15:20:23.019 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_ClusterManager] INFO  p6spy - 
2019-08-20 15:20:29.019 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_MisfireHandler] INFO  p6spy - 
2019-08-20 15:20:38.022 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_ClusterManager] INFO  p6spy - 
2019-08-20 15:20:38.024 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_ClusterManager] INFO  p6spy - 
2019-08-20 15:20:41.021 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_MisfireHandler] INFO  p6spy - 
2019-08-20 15:20:45.599 febs [FEBS_Scheduler_QuartzSchedulerThread] INFO  p6spy - 
2019-08-20 15:20:53.020 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_MisfireHandler] INFO  p6spy - 
2019-08-20 15:20:53.025 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_ClusterManager] INFO  p6spy - 
2019-08-20 15:20:53.025 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_ClusterManager] INFO  p6spy - 
2019-08-20 15:21:05.020 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_MisfireHandler] INFO  p6spy - 
2019-08-20 15:21:08.030 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_ClusterManager] INFO  p6spy - 
2019-08-20 15:21:08.031 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_ClusterManager] INFO  p6spy - 
2019-08-20 15:21:13.107 febs [FEBS_Scheduler_QuartzSchedulerThread] INFO  p6spy - 
2019-08-20 15:21:17.021 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_MisfireHandler] INFO  p6spy - 
2019-08-20 15:21:23.033 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_ClusterManager] INFO  p6spy - 
2019-08-20 15:21:23.034 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_ClusterManager] INFO  p6spy - 
2019-08-20 15:21:25.145 febs [http-nio-8080-exec-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager - Enabling session validation scheduler...
2019-08-20 15:21:29.021 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_MisfireHandler] INFO  p6spy - 
2019-08-20 15:21:38.036 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_ClusterManager] INFO  p6spy - 
2019-08-20 15:21:38.037 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_ClusterManager] INFO  p6spy - 
2019-08-20 15:21:39.148 febs [http-nio-8080-exec-5] INFO  c.n.fsp.common.aspect.LimitAspect - IP:127.0.0.1 第 1 次访问key为 [limit_login127.0.0.1]，描述为 [登录接口] 的接口
2019-08-20 15:21:47.377 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_MisfireHandler] INFO  p6spy - 
2019-08-20 15:21:47.377 febs [FEBS_Scheduler_QuartzSchedulerThread] INFO  p6spy - 
2019-08-20 15:21:47.407 febs [http-nio-8080-exec-5] INFO  p6spy - 2019-08-20 15:21:47 | 耗时 6 ms | SQL 语句：
SELECT u.user_id userId, u.username, u.email, u.mobile, u.password, u.status, u.create_time createTime, u.ssex sex, u.dept_id deptId, u.last_login_time lastLoginTime, u.modify_time modifyTime, u.description, u.avatar, u.theme, u.is_tab isTab, d.dept_name deptName, GROUP_CONCAT(r.role_id) roleId, GROUP_CONCAT(r.ROLE_NAME) roleName FROM t_user u LEFT JOIN t_dept d ON (u.dept_id = d.dept_id) LEFT JOIN t_user_role ur ON (u.user_id = ur.user_id) LEFT JOIN t_role r ON r.role_id = ur.role_id WHERE u.username = 'wangpei' GROUP BY u.username;
2019-08-20 15:21:53.037 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_ClusterManager] INFO  p6spy - 
2019-08-20 15:21:53.038 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_ClusterManager] INFO  p6spy - 
2019-08-20 15:21:59.378 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_MisfireHandler] INFO  p6spy - 
2019-08-20 15:22:08.041 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_ClusterManager] INFO  p6spy - 
2019-08-20 15:22:08.042 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_ClusterManager] INFO  p6spy - 
2019-08-20 15:22:11.379 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_MisfireHandler] INFO  p6spy - 
2019-08-20 15:22:11.653 febs [FEBS_Scheduler_QuartzSchedulerThread] INFO  p6spy - 
2019-08-20 15:22:18.950 febs [http-nio-8080-exec-7] INFO  c.n.fsp.common.aspect.LimitAspect - IP:127.0.0.1 第 2 次访问key为 [limit_login127.0.0.1]，描述为 [登录接口] 的接口
2019-08-20 15:22:23.044 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_ClusterManager] INFO  p6spy - 
2019-08-20 15:22:23.045 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1566285590070_ClusterManager] INFO  p6spy - 
2019-08-20 15:22:23.050 febs [http-nio-8080-exec-10] INFO  c.n.fsp.common.aspect.LimitAspect - IP:127.0.0.1 第 3 次访问key为 [limit_login127.0.0.1]，描述为 [登录接口] 的接口
2019-08-20 15:22:23.059 febs [http-nio-8080-exec-10] INFO  p6spy - 2019-08-20 15:22:23 | 耗时 0 ms | SQL 语句：
SELECT u.user_id userId, u.username, u.email, u.mobile, u.password, u.status, u.create_time createTime, u.ssex sex, u.dept_id deptId, u.last_login_time lastLoginTime, u.modify_time modifyTime, u.description, u.avatar, u.theme, u.is_tab isTab, d.dept_name deptName, GROUP_CONCAT(r.role_id) roleId, GROUP_CONCAT(r.ROLE_NAME) roleName FROM t_user u LEFT JOIN t_dept d ON (u.dept_id = d.dept_id) LEFT JOIN t_user_role ur ON (u.user_id = ur.user_id) LEFT JOIN t_role r ON r.role_id = ur.role_id WHERE u.username = 'wangpei' GROUP BY u.username;
2019-08-20 15:22:23.106 febs [http-nio-8080-exec-10] INFO  p6spy - 2019-08-20 15:22:23 | 耗时 3 ms | SQL 语句：
INSERT INTO t_login_log (USERNAME, LOGIN_TIME, LOCATION, IP, `SYSTEM`, BROWSER) VALUES ('wangpei', '2019-08-20T15:22:23.071+0800', '内网IP|0|0|内网IP|内网IP', '127.0.0.1', 'Windows 10', 'Chrome 76');
2019-08-20 15:22:23.110 febs [http-nio-8080-exec-10] INFO  p6spy - 
2019-08-20 15:22:23.182 febs [http-nio-8080-exec-9] INFO  p6spy - 2019-08-20 15:22:23 | 耗时 0 ms | SQL 语句：
SELECT r.* FROM t_role r LEFT JOIN t_user_role ur ON (r.role_id = ur.role_id) LEFT JOIN t_user u ON (u.user_id = ur.user_id) WHERE u.username = 'wangpei';
