2019-09-04 16:29:46.431 febs [main] INFO  com.neefull.fsp.web.AdminApplication - Starting AdminApplication on pc-wangpei with PID 17640 (D:\workspace\workspace_open\fsp\admin-web\target\classes started by Thinkpad in D:\workspace\workspace_open\fsp)
2019-09-04 16:29:49.751 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-09-04 16:29:49.771 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-09-04 16:29:50.091 febs [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-09-04 16:29:50.101 febs [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2019-09-04 16:29:50.111 febs [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2019-09-04 16:29:50.111 febs [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.19]
2019-09-04 16:29:50.241 febs [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-09-04 16:29:50.241 febs [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3730 ms
2019-09-04 16:29:50.841 febs [main] INFO  c.n.fsp.web.common.xss.XssFilter - ------------ xss filter init ------------
2019-09-04 16:29:51.262 febs [main] INFO  org.quartz.impl.StdSchedulerFactory - Using default implementation for ThreadExecutor
2019-09-04 16:29:51.281 febs [main] INFO  o.quartz.core.SchedulerSignalerImpl - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2019-09-04 16:29:51.281 febs [main] INFO  org.quartz.core.QuartzScheduler - Quartz Scheduler v.2.3.1 created.
2019-09-04 16:29:51.281 febs [main] INFO  o.s.s.quartz.LocalDataSourceJobStore - Using db table-based data access locking (synchronization).
2019-09-04 16:29:51.281 febs [main] INFO  o.s.s.quartz.LocalDataSourceJobStore - JobStoreCMT initialized.
2019-09-04 16:29:51.281 febs [main] INFO  org.quartz.core.QuartzScheduler - Scheduler meta-data: Quartz Scheduler (v2.3.1) 'FEBS_Scheduler' with instanceId 'pc-wangpei1567585791262'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 20 threads.
  Using job-store 'org.springframework.scheduling.quartz.LocalDataSourceJobStore' - which supports persistence. and is clustered.

2019-09-04 16:29:51.281 febs [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler 'FEBS_Scheduler' initialized from an externally provided properties instance.
2019-09-04 16:29:51.281 febs [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler version: 2.3.1
2019-09-04 16:29:51.291 febs [main] INFO  org.quartz.core.QuartzScheduler - JobFactory set to: org.springframework.scheduling.quartz.AdaptableJobFactory@104bc677
2019-09-04 16:29:51.362 febs [main] INFO  p6spy - 2019-09-04 16:29:51 | 耗时 4 ms | SQL 语句：
SELECT job_id jobId, bean_name beanName, method_name methodName, params, cron_expression cronExpression, status, remark, create_time createTime FROM t_job ORDER BY job_id;
2019-09-04 16:29:51.831 febs [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService
2019-09-04 16:29:51.831 febs [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'febsAsyncThreadPool'
2019-09-04 16:29:52.431 febs [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
2019-09-04 16:29:53.476 febs [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2019-09-04 16:29:53.556 febs [main] INFO  o.s.s.quartz.SchedulerFactoryBean - Will start Quartz Scheduler [FEBS_Scheduler] in 1 seconds
2019-09-04 16:29:53.566 febs [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2019-09-04 16:29:53.596 febs [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2019-09-04 16:29:53.596 febs [main] INFO  com.neefull.fsp.web.AdminApplication - Started AdminApplication in 8.075 seconds (JVM running for 9.336)
2019-09-04 16:29:53.626 febs [main] INFO  c.n.f.w.c.runner.FebsStartedUpRunner -  __    ___   _      ___   _     ____ _____  ____ 
2019-09-04 16:29:53.626 febs [main] INFO  c.n.f.w.c.runner.FebsStartedUpRunner - / /`  / / \ | |\/| | |_) | |   | |_   | |  | |_  
2019-09-04 16:29:53.626 febs [main] INFO  c.n.f.w.c.runner.FebsStartedUpRunner - \_\_, \_\_/ |_|  | |_|   |_|__ |_|__  |_|  |_|__ 
2019-09-04 16:29:53.626 febs [main] INFO  c.n.f.w.c.runner.FebsStartedUpRunner -                                                       
2019-09-04 16:29:53.626 febs [main] INFO  c.n.f.w.c.runner.FebsStartedUpRunner - FLP系统启动完毕，地址：http://172.28.13.252:8080/login
2019-09-04 16:29:53.786 febs [RMI TCP Connection(3)-172.28.13.252] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-09-04 16:29:53.786 febs [RMI TCP Connection(3)-172.28.13.252] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-09-04 16:29:53.806 febs [RMI TCP Connection(3)-172.28.13.252] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 20 ms
2019-09-04 16:29:54.216 febs [RMI TCP Connection(5)-172.28.13.252] INFO  p6spy - 2019-09-04 16:29:54 | 耗时 0 ms | SQL 语句：
select 1;
2019-09-04 16:29:54.557 febs [Quartz Scheduler [FEBS_Scheduler]] INFO  o.s.s.quartz.SchedulerFactoryBean - Starting Quartz Scheduler now, after delay of 1 seconds
2019-09-04 16:29:54.566 febs [Quartz Scheduler [FEBS_Scheduler]] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2019-09-04 16:29:54.566 febs [Quartz Scheduler [FEBS_Scheduler]] INFO  o.s.s.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "pc-wangpei1566979837391"'s failed in-progress jobs.
2019-09-04 16:29:54.576 febs [Quartz Scheduler [FEBS_Scheduler]] INFO  p6spy - 
2019-09-04 16:29:54.576 febs [Quartz Scheduler [FEBS_Scheduler]] INFO  org.quartz.core.QuartzScheduler - Scheduler FEBS_Scheduler_$_pc-wangpei1567585791262 started.
2019-09-04 16:29:54.576 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_MisfireHandler] INFO  p6spy - 
2019-09-04 16:29:54.576 febs [FEBS_Scheduler_QuartzSchedulerThread] INFO  p6spy - 
2019-09-04 16:30:00.798 febs [http-nio-8080-exec-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager - Enabling session validation scheduler...
2019-09-04 16:30:06.580 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_MisfireHandler] INFO  p6spy - 
2019-09-04 16:30:09.573 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:30:09.580 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:30:18.570 febs [FEBS_Scheduler_QuartzSchedulerThread] INFO  p6spy - 
2019-09-04 16:30:18.581 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_MisfireHandler] INFO  p6spy - 
2019-09-04 16:30:24.577 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:30:24.577 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:30:30.583 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_MisfireHandler] INFO  p6spy - 
2019-09-04 16:30:39.579 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:30:39.580 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:30:41.882 febs [FEBS_Scheduler_QuartzSchedulerThread] INFO  p6spy - 
2019-09-04 16:30:42.582 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_MisfireHandler] INFO  p6spy - 
2019-09-04 16:30:54.579 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_MisfireHandler] INFO  p6spy - 
2019-09-04 16:30:54.579 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:30:54.579 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:31:06.583 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_MisfireHandler] INFO  p6spy - 
2019-09-04 16:31:09.586 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:31:09.586 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:31:09.829 febs [FEBS_Scheduler_QuartzSchedulerThread] INFO  p6spy - 
2019-09-04 16:31:18.585 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_MisfireHandler] INFO  p6spy - 
2019-09-04 16:31:24.589 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:31:24.589 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:31:30.584 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_MisfireHandler] INFO  p6spy - 
2019-09-04 16:31:39.066 febs [FEBS_Scheduler_QuartzSchedulerThread] INFO  p6spy - 
2019-09-04 16:31:39.589 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:31:39.590 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:31:42.585 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_MisfireHandler] INFO  p6spy - 
2019-09-04 16:31:54.584 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_MisfireHandler] INFO  p6spy - 
2019-09-04 16:31:54.592 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:31:54.592 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:32:06.584 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_MisfireHandler] INFO  p6spy - 
2019-09-04 16:32:07.850 febs [FEBS_Scheduler_QuartzSchedulerThread] INFO  p6spy - 
2019-09-04 16:32:09.595 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:32:09.595 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:32:18.584 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_MisfireHandler] INFO  p6spy - 
2019-09-04 16:32:24.598 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:32:24.599 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:32:30.584 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_MisfireHandler] INFO  p6spy - 
2019-09-04 16:32:37.062 febs [FEBS_Scheduler_QuartzSchedulerThread] INFO  p6spy - 
2019-09-04 16:32:39.600 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:32:39.601 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:32:42.585 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_MisfireHandler] INFO  p6spy - 
2019-09-04 16:32:54.586 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_MisfireHandler] INFO  p6spy - 
2019-09-04 16:32:54.603 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:32:54.603 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:33:04.599 febs [FEBS_Scheduler_QuartzSchedulerThread] INFO  p6spy - 
2019-09-04 16:33:06.585 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_MisfireHandler] INFO  p6spy - 
2019-09-04 16:33:09.606 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:33:09.607 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:33:18.586 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_MisfireHandler] INFO  p6spy - 
2019-09-04 16:33:24.609 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:33:24.610 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:33:30.587 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_MisfireHandler] INFO  p6spy - 
2019-09-04 16:33:31.238 febs [FEBS_Scheduler_QuartzSchedulerThread] INFO  p6spy - 
2019-09-04 16:33:39.612 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:33:39.612 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_ClusterManager] INFO  p6spy - 
2019-09-04 16:33:42.587 febs [QuartzScheduler_FEBS_Scheduler-pc-wangpei1567585791262_MisfireHandler] INFO  p6spy - 
